word,count
boy,35
shit,29
good,29
people,28
hard,25
boys,24
fire,23
bad,23
girls,22
saja,22
ass,21
girl,21
band,20
hate,20
evil,19
fucking,18
world,18
story,17
fun,17
group,17
right,17
soda,17
real,16
obsessed,15
characters,15
year,15
rumi,14
kinda,14
fuck,14
since,13
old,13
new,13
fans,12
fight,12
something,12
catchy,12
let,12
everything,11
plot,11
kids,11
crazy,11
become,11
kill,11
head,11
ranked,11
hell,11
fan,11
jinu,11
worst,11
years,10
tiger,10
industry,10
culture,10
sorry,10
die,10
audience,10
theaters,10
soul,10
bird,10
times,10
end,10
peak,10
singing,9
life,9
shame,9
instead,9
love,9
cringe,9
cause,9
character,9
idol,9
bts,9
style,9
voice,9
musical,9
yall,8
battle,8
hit,8
stan,8
need,8
holy,8
target,8
groups,8
second,8
screen,8
comes,8
main,8
propaganda,7
men,7
worse,7
absolutely,7
spider,7
verse,7
ill,7
ago,7
due,7
mira,7
daughter,7
fact,7
face,7
another,7
young,7
trying,7
seeing,7
stop,7
bangers,7
shes,7
someone,7
game,7
anything,7
idea,7
hiding,7
twice,7
totally,7
sing,7
together,7
fantasy,7
try,7
couch,7
big,7
type,6
long,6
weird,6
mean,6
whole,6
secret,6
unfortunately,6
death,6
spotify,6
night,6
power,6
remember,6
coming,6
especially,6
far,6
away,6
bands,6
keep,6
free,6
born,6
great,6
theatrical,6
find,6
believe,6
pictures,6
theres,6
annoying,6
streaming,6
cute,6
cannot,6
damn,6
maggie,6
kang,6
better,6
point,6
seriously,6
king,6
three,6
across,6
part,6
ate,5
feels,5
insane,5
least,5
design,5
anyone,5
sinners,5
supposed,5
hot,5
played,5
supernatural,5
popular,5
sister,5
children,5
guess,5
appelhans,5
destroy,5
nothing,5
blackpink,5
guy,5
live,5
havent,5
grown,5
idols,5
true,5
concert,5
wait,5
next,5
zoey,5
hair,5
obviously,5
admit,5
already,5
fighting,5
without,5
south,5
sounds,5
cool,5
once,5
broke,5
done,5
stars,5
ending,5
original,5
less,5
art,5
stealing,5
moment,5
fine,5
chris,5
banger,5
full,5
gwi,5
release,5
heard,5
incredibly,5
work,5
total,5
weekend,5
except,5
phenomenon,5
everyone,5
mind,4
needs,4
villains,4
god,4
behind,4
arc,4
twitter,4
wouldve,4
problem,4
service,4
lying,4
late,4
soooo,4
fear,4
found,4
boring,4
stuck,4
killer,4
screaming,4
color,4
saying,4
repeat,4
ridiculous,4
ugly,4
freaking,4
trio,4
arden,4
cho,4
half,4
left,4
nice,4
hear,4
moments,4
always,4
single,4
oscar,4
secretly,4
musicals,4
man,4
feature,4
takedown,4
self,4
hide,4
black,4
friends,4
hating,4
eating,4
tho,4
anyway,4
scene,4
general,4
weeks,4
post,4
corny,4
genre,4
recent,4
shining,4
media,4
depression,4
kid,4
writing,4
current,4
boyband,4
flick,4
tiny,4
expressions,4
day,4
stupid,4
completely,4
reason,4
sound,4
sad,4
directed,4
woman,4
red,4
spiderverse,4
action,4
title,4
beat,4
form,4
finally,4
high,4
theater,4
use,4
frame,4
version,4
possible,4
incredible,4
devil,4
script,4
play,4
earth,4
released,4
souls,4
pussycats,4
absolute,4
brain,4
bang,4
seems,4
white,3
open,3
season,3
