word,count
good,324
fun,280
love,250
great,201
story,172
characters,170
best,138
year,132
catchy,126
style,109
loved,106
world,105
action,103
cool,97
something,95
ranked,92
better,88
fan,88
since,85
right,80
absolutely,78
girls,78
honestly,78
enjoyed,76
musical,74
kids,74
plot,74
people,73
funny,72
beautiful,71
original,70
finally,69
hard,67
voice,66
whole,65
cute,65
amazing,63
second,63
need,63
soda,62
truth,60
times,60
sure,59
favorite,59
rumi,58
especially,58
big,58
theres,58
feels,58
spoilers,57
handle,57
character,57
contain,56
zoey,56
girl,56
group,56
new,55
boys,55
audience,54
work,54
done,54
yes,53
sing,52
along,52
everything,52
super,51
boy,51
sounds,50
day,50
couch,48
genuinely,48
spider,48
another,48
fans,48
fucking,47
culture,47
rewatch,46
mira,45
verse,45
overall,45
target,44
years,44
real,44
scenes,44
ill,43
singing,43
saja,43
band,43
top,43
hype,43
tiger,43
surprised,43
jinu,43
banger,42
seeing,42
enjoy,42
full,41
energy,41
happy,41
entertaining,41
gorgeous,40
half,40
life,40
expect,40
already,40
three,40
kinda,40
long,40
release,39
wish,39
always,39
experience,39
listen,38
vibrant,38
end,38
visuals,38
old,38
pictures,37
incredible,37
solid,37
nice,37
bad,37
perfect,37
glad,36
found,36
main,35
hit,35
stunning,35
surprisingly,35
concept,35
completely,34
hope,34
theater,34
minutes,34
enjoyable,34
twice,34
gets,34
check,34
fantastic,34
together,33
far,33
popular,33
idol,33
absolute,33
unique,33
everyone,32
free,32
next,32
nothing,32
god,32
sequel,32
oscar,32
heart,31
moments,31
interesting,31
expecting,31
head,31
expected,31
screen,31
part,30
genre,30
needed,30
hate,30
blast,30
anything,30
awesome,30
totally,30
man,30
title,30
idea,30
soul,29
power,29
night,29
emotional,29
theaters,29
guys,29
bird,29
humor,29
biggest,29
self,29
shit,29
single,28
moment,28
looks,28
become,28
creative,28
premise,28
fact,28
guess,28
almost,28
late,28
obsessed,27
least,27
visually,27
fight,27
act,27
art,27
works,27
different,27
extremely,26
stan,26
friendship,26
heard,26
high,26
surprise,26
keep,26
exactly,26
message,26
stars,25
once,25
wow,25
friends,25
care,25
visual,25
hours,25
truly,25
spiderverse,25
couple,25
straight,24
shes,24
entire,24
without,24
bangers,24
easy,24
sequences,24
away,24
mind,24
silly,24
easily,24
themes,24
trying,24
point,24
someone,24
win,24
months,24
damn,24
hell,23
less,23
coming,23
strong,23
kept,23
decided,23
friend,23
acting,23
listening,23
understand,23
reason,22
sorry,22
stop,22
ended,22
colorful,22
eyes,22
let,22
wouldve,22
version,22
fighting,22
obviously,22
started,22
comedy,22
feature,22
cat,22
shame,22
playing,21
spotify,21
crazy,21
honest,21
try,21
expressions,21
start,21
idols,20
slayer,20
takedown,20
comes,20
close,20
slaying,20
admit,20
despite,20
throughout,20
hits,20
women,19
month,19
familiar,19
star,19
sister,19
fantasy,19
trio,19
ago,19
rumis,19
numbers,19
given,19
worth,19
modern,19
industry,19
simple,19
disney,19
havent,19
mean,19
peak,19
romance,18
colors,18
plus,18
lore,18
live,18
level,18
battle,18
weird,18
believe,18
week,18
mostly,18
fully,18
storyline,18
perfectly,18
holy,17
sense,17
face,17
charming,17
remember,17
bright,17
turned,17
turning,17
anyway,17
behind,17
stuck,17
thank,17
cause,17
wrapped,17
fine,17
media,17
rating,17
course,17
excellent,17
inspired,17
cringe,17
couldve,17
vibe,17
phenomenon,17
voices,17
fire,17
tho,17
written,17
writing,17
sinners,16
young,16
rushed,16
ate,16
personality,16
academy,16
daughter,16
anyone,16
past,16
bts,16
alone,16
core,16
incredibly,16
born,16
reminded,16
certainly,16
attention,16
huge,16
side,16
family,16
vibes,16
deserved,16
theatrical,16
repeat,15
sometimes,15
find,15
studio,15
animations,15
red,15
playlist,15
run,15
predictable,15
short,15
giving,15
elements,15
narrative,15
awards,15
released,15
building,15
evil,15
weeks,15
appeal,15
fit,15
amount,15
ending,15
became,15
gyatt,15
hot,14
bands,14
called,14
means,14
actual,14
musicals,14
welcome,14
true,14
played,14
light,14
instead,14
personally,14
third,14
hat,14
expectations,14
releases,14
seriously,14
machines,14
acceptance,14
wait,14
deserves,14
ranking,14
recent,14
blackpink,14
today,14
parts,14
maggie,14
set,14
flaws,14
decide,14
mitchells,14
era,14
piece,14
please,14
kang,14
wild,14
oscars,14
others,14
party,14
highly,14
sitting,13
guy,13
scene,13
lies,13
game,13
help,13
unfortunately,13
asked,13
excited,13
viewing,13
talking,13
expressive,13
sound,13
miss,13
comfort,13
pacing,13
thinking,13
fast,13
generic,13
low,13
winning,13
clear,13
hand,13
epic,13
bias,13
play,13
energetic,13
insanely,13
left,13
taking,13
letterboxd,13
non,13
hilarious,13
home,13
lie,13
shot,13
days,13
cultural,13
showed,13
line,13
meets,12
beautifully,12
hey,12
joke,12
mainstream,12
fuck,12
needs,12
name,12
designs,12
seems,12
appreciate,12
thanks,12
bops,12
joy,12
seem,12
script,12
beats,12
brain,12
lost,12
sequels,12
place,12
usually,12
wonderful,12
wrong,12
loud,12
across,12
hearing,12
cast,12
mythology,12
emotionally,12
case,12
final,12
fresh,12
baby,12
serious,12
takes,12
impressive,12
interest,12
saying,12
lead,11
later,11
men,11
rocks,11
liking,11
whatever,11
clearly,11
trailer,11
lyrics,11
often,11
moves,11
person,11
zero,11
packed,11
telling,11
type,11
runtime,11
tired,11
dad,11
engaging,11
entertainment,11
english,11
particularly,11
insane,11
rest,11
worked,11
alright,11
keeps,11
towards,11
blown,11
ass,11
deep,11
lowkey,11
nearly,11
fair,11
honmoon,11
longer,11
dynamic,11
hiding,11
chris,11
appelhans,11
notes,11
award,11
crowd,11
jokes,11
beginning,11
soon,11
screening,10
buffy,10
badass,10
add,10
chance,10
color,10
chemistry,10
tonight,10
used,10
sang,10
quality,10
fandom,10
hair,10
listened,10
broken,10
meant,10
cried,10
hear,10
hunting,10
special,10
imagine,10
spent,10
delivers,10
somewhat,10
backstory,10
frozen,10
break,10
pleasant,10
loves,10
children,10
share,10
caught,10
watches,10
bro,10
heavily,10
either,10
immediately,10
masterpiece,10
issues,10
general,10
gives,10
eat,10
greatest,10
daughters,10
plays,10
beyond,10
slick,10
number,10
flick,10
surprising,10
magical,10
patterns,10
sooo,10
somehow,10
random,10
series,10
points,10
streaming,10
