id,author,date,sentiment,compound,text,url
rf-1139439385240873660,Unknown,,neutral,0.0000,Nepo baby vs industry plant,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf--32163007530685145,Unknown,,neutral,0.0000,the tiger is a child of divorce,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf--5022769627078284213,Unknown,,negative,-0.3321,do yall mind if a white boy speaks a little korean tonight 😅 annyeonghaseyo type shit 🤫,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf--8656421959107142565,Unknown,,positive,0.6369,"Extremely relatable, I too love sitting on my couch",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf--2960484229565394393,Unknown,,neutral,0.0000,Some kpop boys out there are actual demons I just can't prove it yet,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf--1114584361061558181,Unknown,,positive,0.2500,i just simply love it when women serve cunt,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf--1575239794451052463,Unknown,,neutral,0.0000,huntrix daughter or saja boy son,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf-7988940948588138818,Unknown,,neutral,0.0000,This film? GNARLY,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf-8927706594216527121,Unknown,,neutral,0.0000,where was dispatch during all of this,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf-9016498410466169575,Unknown,,negative,-0.1027,squint hard enough and thats basically K/DA,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf-3729624011297486995,Unknown,,positive,0.3182,This review may contain spoilers. I can handle the truth.,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf--4487034023016506877,Unknown,,negative,-0.2183,the songs ate so hard,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf--3615406492133287011,Unknown,,positive,0.5994,"Oh yeah, I'm definitely the target audience for this",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
rf-8897266779584954718,Unknown,,neutral,0.0000,this isn’t a hear me out this is a hold me back,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
rf-4872974822211145068,Unknown,,positive,0.5994,"this movie absolutely ripped and i got to voice a super hot guy with abs literally named Abs, 5000 stars",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
rf-388542628989310996,Unknown,,positive,0.4404,HOLY FUCKING SHIIIIIIIIIIIT THIS IS BETTER THAN THE GODFATHER,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
rf-1602012847657681328,Unknown,,negative,-0.3818,Boys VS Girls singing battle (gacha life),https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
rf-7824043839033945103,Unknown,,neutral,0.0000,Wait till they find out about stretch marks,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
rf--4790646894108384816,Unknown,,negative,-0.5423,Whoever wrote these songs needs their ass ATE,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
rf--583736414426551445,Unknown,,negative,-0.4767,becoming a demon because of deep rooted shame feels very catholic,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
rf-2046774331072234807,Unknown,,positive,0.4215,only time you’ll see me rooting for a straight ship and they went and straight baited me,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
rf--9084266008394398369,Unknown,,neutral,0.0000,is rumi allowed to take her hair out of that braid?,https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
