id,author,rating,date,text,url
rf-1139439385240873660,Unknown,,,"Nepo baby vs industry plant
Like review56,279 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf--32163007530685145,Unknown,,,"the tiger is a child of divorce
Like review45,854 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf--5022769627078284213,Unknown,,,"do yall mind if a white boy speaks a little korean tonight 😅 annyeonghaseyo type shit 🤫
Like review25,971 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf--8656421959107142565,Unknown,,,"Extremely relatable, I too love sitting on my couch
Like review23,265 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf--2960484229565394393,Unknown,,,"Some kpop boys out there are actual demons I just can't prove it yet
Like review20,618 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf--1114584361061558181,Unknown,,,"i just simply love it when women serve cunt
Like review18,828 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf--1575239794451052463,Unknown,,,"huntrix daughter or saja boy son
Like review17,940 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf-7988940948588138818,Unknown,,,"This film? GNARLY
Like review15,782 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf-8927706594216527121,Unknown,,,"where was dispatch during all of this
Like review14,959 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf-9016498410466169575,Unknown,,,"squint hard enough and thats basically K/DA
Like review14,816 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf-3729624011297486995,Unknown,,,"This review may contain spoilers. I can handle the truth.
Like review13,197 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf--4487034023016506877,Unknown,,,"the songs ate so hard
Like review13,113 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/
rf--3615406492133287011,Unknown,,,"Oh yeah, I'm definitely the target audience for this
Like review11,805 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
rf-8897266779584954718,Unknown,,,"this isn’t a hear me out this is a hold me back
Like review11,775 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
rf-4872974822211145068,Unknown,,,"this movie absolutely ripped and i got to voice a super hot guy with abs literally named Abs, 5000 stars
Like review11,606 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
rf-388542628989310996,Unknown,,,"HOLY FUCKING SHIIIIIIIIIIIT THIS IS BETTER THAN THE GODFATHER
Like review10,128 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
rf-1602012847657681328,Unknown,,,"Boys VS Girls singing battle (gacha life)
Like review9,239 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
rf-7824043839033945103,Unknown,,,"Wait till they find out about stretch marks
Like review8,920 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
rf--4790646894108384816,Unknown,,,"Whoever wrote these songs needs their ass ATE
Like review8,829 likes",https://letterboxd.com/film/kpop-demon-hunters/reviews/by/activity/page/2/
