word,count
한국,629
스토리,258
문화,247
재밌다,246
아이돌,186
트릭,153
사자,142
요소,134
캐릭터,128
보이즈,125
유치하다,119
진우,116
고증,114
루미,111
이야기,108
소재,99
좋아하다,96
보고,92
서사,89
재미,88
아쉽다,88
국뽕,87
미국,86
대한,86
사랑,82
세계,80
매력,77
내용,77
한국인,76
연출,73
소니,70
뻔하다,66
배경,65
자체,64
스타일,63
전개,62
가장,59
취향,56
계속,56
시간,56
귀엽다,55
세상,53
호랑이,53
미치다,53
뮤지컬,52
디즈니,51
완성,51
혼문,51
감동,50
신선하다,49
퀄리티,49
마음,49
제목,48
이해,48
기대,47
중독,47
표현,45
디테일,44
전통,43
외국인,43
무대,43
단순하다,43
인기,43
중간,43
설정,42
목소리,41
맛있다,41
외국,40
즐겁다,40
높다,40
조금,39
장면,39
영어,39
아름답다,38
무엇,38
훌륭하다,36
익숙하다,36
솔직하다,36
악령,35
화려하다,35
모습,34
장르,34
재미있다,34
개연,34
이유,34
라면,33
눈물,33
자신,33
기분,33
완벽하다,33
데몬,33
헌터스,33
클리셰,33
신기하다,32
액션,32
시대,32
새롭다,32
컨텐츠,32
마이,32
빠르다,31
역시,31
개인,30
주인공,30
영상,30
메시지,30
그것,30
제대로,30
존재,29
멋지다,29
깔끔하다,29
일단,29
최고,29
이상,28
다른,28
제작,28
가볍다,28
사실,28
컨셉,28
가사,28
기획,27
확실하다,27
시작,27
다소,27
한국어,27
해외,27
조이,27
적절하다,26
순간,26
수준,26
까치,26
과거,26
타임,26
감정,26
디테,26
헌터,26
안되다,26
인정,25
세계관,25
콘서트,25
악귀,25
나라,25
현대,25
흥미롭다,25
괜찮다,25
대단하다,25
감성,24
주제,24
내내,24
스럽다,24
한류,24
비주,24
저승사자,24
우정,24
시리즈,24
아이,24
부족하다,24
현실,23
공감,23
자본,23
오히려,23
무당,23
러닝,23
얘기,22
결점,22
스파이더맨,22
컬쳐,22
국문,22
조합,22
스타,22
김밥,22
일이,22
잘생기다,22
케이,22
친구,22
오타쿠,22
굉장하다,21
집중,21
성공,21
정서,21
대중,21
수도,21
탄탄하다,21
미라,21
깊다,21
강하다,21
남자,21
한번,21
흥행,21
수록,21
아쉬움,21
정체,21
김구,21
판타지,20
누가,20
결말,20
김치찌개,20
별로,20
어디,20
선생님,20
뮤직비디오,19
글로벌,19
그룹,19
참신하다,19
예상,19
곳곳,19
진심,19
더피,19
가슴,19
수가,19
포인트,19
기대하다,19
궁금하다,19
요즘,19
일본,19
지루하다,19
절대,18
서울,18
충분하다,18
바로,18
덕질,18
신나다,18
후반,18
전세계,18
유행,18
짧다,18
이상하다,18
머리,18
제발,18
홍보,18
다만,17
이면,17
애정,17
디자인,17
성장,17
겨울왕국,17
전체,17
이후,17
인물,17
병크,17
웃기,17
어린이,17
플롯,17
가득하다,16
넷플,16
뛰어나다,16
상처,16
거리,16
갑자기,16
콘텐츠,16
그대로,16
반응,16
극장,16
점수,16
역사,15
예쁘다,15
건가,15
어렵다,15
조화,15
덕후,15
몰입,15
전혀,15
인간,15
메세지,15
더하다,15
상상,15
단점,15
살짝,15
위상,15
여자,15
비쥬,15
의미,15
대한민국,15
관심,15
전부,15
제일,15
힘들다,15
열광하다,15
특별하다,14
감탄,14
감상,14
로서,14
연결,14
구현,14
무난,14
나름,14
감각,14
시원하다,14
컴백,14
진부하다,14
중요하다,14
시선,14
웅장,14
데뷔,14
남돌,14
킬링타임,14
게임,14
트와이스,14
성공하다,14
더빙,14
어른,14
라인,14
비밀,14
멤버,14
엄마,14
핑크,14
리틀,14
싫어하다,13
속편,13
흔하다,13
설득,13
나쁘다,13
