word,count
유치하다,79
스토리,68
아쉽다,57
뻔하다,49
한국,45
클리셰,25
서사,23
문화,21
캐릭터,20
부족하다,19
전개,17
이야기,17
내용,16
고증,16
요소,14
지루하다,14
소재,14
아쉬움,13
조금,12
연출,12
개연,12
다소,12
아이돌,10
진부하다,10
진우,10
시간,10
완성,10
별로,10
안되다,9
설정,9
루미,9
결말,9
재미없다,9
싫다,8
스타일,8
퀄리티,8
아깝다,8
유치,8
빈약하다,8
러닝,8
타임,8
높다,8
억지,7
어색하다,7
계속,7
빠르다,7
라인,7
자체,7
장면,7
국뽕,7
배경,7
주제,6
소니,6
불편하다,6
트릭,6
헌터스,6
확실하다,6
살짝,6
개인,6
중간,6
이유,6
마음,6
한계,6
가장,5
그것,5
표현,5
어렵다,5
부실하다,5
현실,5
다만,5
존재,5
사자,5
데몬,5
세계,5
미치다,5
애매하다,5
뽕짝,5
미국,5
보고,5
단순하다,5
전체,5
부족,5
기분,5
대한,5
제목,5
그룹,4
노잼,4
줄거리,4
호랑이,4
완벽하다,4
이후,4
왕도,4
가사,4
후반,4
보이즈,4
메시지,4
신기하다,4
디즈니,4
수도,4
어린이,4
괜찮다,4
장르,4
일이,4
이해도,4
유행,4
영어,4
한국인,4
공감,4
마무리,4
내내,4
영상,4
플롯,4
몰입,4
취향,4
뮤지컬,4
액션,4
제작,4
사실,4
축약,4
참신하다,4
극장,4
모습,4
구성,4
무당,3
현대,3
연결,3
설득,3
기획,3
디테일,3
외국,3
상미,3
부여,3
답답하다,3
스파이더맨,3
컨셉,3
가득하다,3
길다,3
시즌,3
기대하다,3
만화,3
형태,3
감정,3
이해,3
대단하다,3
공연,3
정선,3
흔하다,3
솔직하다,3
혼문,3
갈등,3
기승,3
전결,3
악령,3
실패,3
훌륭하다,3
멤버,3
주인공,3
엄청나다,3
다른,3
수준,3
커버,3
진행,3
나쁘다,3
반응,3
인물,3
소식,3
평범하다,3
수록,3
일단,3
재밌다,3
쉽다,3
흥행,3
구현,3
메세지,3
밉다,3
디테,3
감탄,3
시작,3
더하다,3
짧다,3
세계관,2
힘들다,2
시대,2
웅장,2
심지어,2
맛있다,2
크게,2
단어,2
어쩌면,2
거리,2
평가,2
단조롭다,2
항상,2
스타,2
속도,2
미라,2
묘사,2
노력,2
야하다,2
숨기,2
완전하다,2
실감,2
감상,2
성공하다,2
도입,2
뮤직비디오,2
반대,2
대비,2
연기,2
발랄하다,2
극복,2
가수,2
어찌,2
수가,2
타겟,2
즐겁다,2
장점,2
굉장하다,2
신선하다,2
마치,2
멀다,2
끔찍하다,2
기본,2
정서,2
실망,2
전세계,2
분명,2
만족스럽다,2
억지스럽다,2
고트,2
가볍다,2
도대체,2
김밥,2
부터,2
그닥,2
다가,2
한복,2
나머지,2
로맨스,2
애매,2
치킨,2
최악,2
중반,2
얼렁뚱땅,2
어설프다,2
소리,2
목적,2
수단,2
불과하다,2
인기,2
전시,2
홍보,2
흐름,2
식상하다,2
곳곳,2
국문,2
고려,2
특성,2
해소,2
도파민,2
점수,2
컨텐츠,2
헌터,2
캐디,2
개그,2
사회,2
버전,2
보충,2
명성,2
웃기,2
전혀,2
충분하다,2
디자인,2
일본,2
중국,2
상상,2
사이,2
할리우드,2
변형,2
짜임새,2
몰입도,2
정수,2
발견,2
떡밥,2
응원,2
납득,2
예상,2
범벅,2
흡입,2
맴도,2
무려,2
약하다,2
인간,2
누가,2
별개,2
순간,2
문제,2
변화,2
당연하다,2
키스,2
오히려,2
귀엽다,2
꾸준하다,2
가보,2
차라리,2
시리즈,2
제법,2
불구,2
제일,2
실패하다,2
싱얼롱,2
개봉,2
남자,2
원래,2
영혼,2
설명,2
최근,2
짬뽕,2
관심,2
심장,2
작화,2
단점,2
겨울왕국,2
성공,2
기술,2
개성,2
치사량,2
에너지,2
상업,2
유쾌하다,2
관련,2
비주,2
덕분,2
콘텐츠,2
마이,2
비쥬,2
새롭다,2
그래픽,2
후속작,2
남돌,2
포인트,2
자주,2
망하다,2
특별하다,2
지은,1
창작,1
영화로,1
퇴마,1
이쁘다,1
저승,1
돌이,1
맛깔나다,1
준걸,1
막강,1
내면,1
그대로,1
한류,1
선도,1
꼭대기,1
뭉클하다,1
엘사,1
군데,1
뿌듯하다,1
죽겠네,1
유형,1
뇌절,1
라면,1
궁금하다,1
콘셉트,1
생명력,1
부리,1
버무려낸,1
해석,1
더욱,1
일지,1
별다르다,1
과대,1
놀래킨다,1
일리,1
고수,1
획기,1
다행,1
너무하다,1
연대,1
커플링,1
필요,1
미국인,1
정상,1
집착,1
재미있다,1
당위,1
해명,1
상처,1
조이,1
셀린,1
위치,1
결정,1
만국,1
공통,1
해지,1
실제,1
실력,1
뻥짝,1
자본,1
무엇,1
핵심,1
안타깝다,1
위상,1
매력,1
트랙,1
상쇄,1
덜하다,1
비위,1
인트,1
틱톡,1
바이럴,1
개간,1
편집,1
그지같다,1
언제,1
기억,1
전성기,1
시절,1
감성,1
전형,1
소년,1
선의,1
품성,1
김윤진,1
출연,1
감각,1
선호,1
성우,1
로서,1
목소리,1
전부,1
어딘가,1
재기,1
악귀,1
과연,1
추악하다,1
파생,1
포섭,1
시도,1
직접,1
과유,1
불급,1
단단하다,1
미쳣다,1
저숭라,1
치덕치덕,1
슉슉,1
마냥,1
기만,1
어엿하다,1
