word,count
재밌다,221
한국,196
좋아하다,89
문화,85
재미,82
사랑,78
스토리,78
매력,70
아이돌,69
캐릭터,60
요소,51
귀엽다,51
감동,47
기대,45
이야기,45
중독,45
신선하다,44
고증,43
소재,40
아름답다,35
트릭,33
연출,33
화려하다,32
즐겁다,32
보고,31
진우,31
눈물,30
내용,30
자체,30
배경,29
재미있다,29
호랑이,29
훌륭하다,28
최고,28
깔끔하다,27
대한,27
소니,26
한국인,25
국뽕,25
멋지다,24
서사,23
루미,22
뮤지컬,22
흥미롭다,22
인정,21
사자,21
제목,21
계속,21
중간,21
외국인,20
무대,20
탄탄하다,20
스타일,19
자신,19
보이즈,18
진심,18
취향,17
미국,17
퀄리티,17
신나다,17
전통,16
이상,16
익숙하다,16
신기하다,16
디테일,16
악령,16
전개,16
라면,15
외국,15
액션,15
단순하다,15
세상,15
가장,15
시간,15
예쁘다,14
설정,14
표현,14
아쉽다,14
세계,14
판타지,13
목소리,13
디즈니,13
시대,13
뛰어나다,13
다른,12
적절하다,12
완성,12
인기,12
새롭다,12
무난,12
빠르다,12
무엇,12
멋있다,12
까치,12
강하다,12
흥미,12
마음,12
아이,12
조이,12
굉장하다,11
주인공,11
제작,11
가볍다,11
비주,11
콘서트,11
이해,11
솔직하다,11
국문,11
혼문,11
과거,11
해외,11
역시,11
미치다,11
포인트,11
입덕,10
개인,10
영상,10
세계관,10
저승사자,10
나라,10
시작,10
완벽하다,10
수도,10
곳곳,10
우정,10
장면,10
일단,10
헌터,10
내내,9
모습,9
가득하다,9
확실하다,9
존재,9
이면,9
애정,9
순간,9
한류,9
집중,9
디자인,9
메시지,9
장르,9
나름,9
정서,9
높다,9
더피,9
벅차다,9
한국어,9
오히려,9
유치하다,9
잘생기다,9
행복하다,9
명작,9
어디,9
웃음,8
감성,8
조화,8
현실,8
스럽다,8
감상,8
전혀,8
귀가,8
은근,8
수준,8
대박,8
자본,8
감정,8
최애,8
깊다,8
수작,8
한번,8
가슴,8
케이,8
후반,8
등장,8
오타쿠,8
퇴치,8
결점,7
건가,7
효과,7
환상,7
서울,7
조금,7
사실,7
의상,7
악귀,7
그룹,7
성공,7
로서,7
전달,7
메세지,7
더하다,7
깨알,7
충분하다,7
그것,7
타임,7
조합,7
스타,7
데몬,7
이후,7
김밥,7
반갑다,7
다양하다,7
덕질,7
괜찮다,7
그대로,7
뻔하다,7
여자,7
누군가,7
웃기,7
추천,7
기대하다,7
짧다,7
현재,7
스스로,7
보지,6
어렵다,6
분위기,6
음식,6
정성,6
스파이더맨,6
몰입,6
작화,6
현대,6
기분,6
구현,6
유쾌,6
상당하다,6
참신하다,6
예상,6
컨텐츠,6
공감,6
감각,6
바로,6
파워,6
미라,6
설레다,6
유머,6
크게,6
디테,6
갑자기,6
부정,6
등장인물,6
맛있다,6
시리즈,6
무당,6
비쥬,6
인생,6
수가,6
친구,6
전세계,6
코드,6
러닝,6
엔딩,6
궁금하다,6
얘기,5
결합,5
싫어하다,5
위로,5
특유,5
역사,5
또한,5
절대,5
감탄,5
유니버스,5
발견,5
동시,5
압도,5
성장,5
선물,5
진정하다,5
걸그룹,5
연결,5
넷플,5
가수,5
노력,5
팬덤,5
아이디어,5
국밥,5
대중,5
당황,5
안효섭,5
독창,5
전체,5
상처,5
더욱,5
전반,5
거리,5
남산,5
컨셉,5
사회,5
로맨스,5
남자,5
유리,5
시선,5
개연,5
별로,5
마운틴,5
심지어,5
데뷔,5
결핍,5
프레임,5
나이,5
놀람,5
존중,5
대단하다,5
처럼,5
입장,5
트와이스,5
영어,5
수많다,5
넘치다,5
더빙,5
다르다,5
고양이,5
이상하다,5
머리,5
가득,5
과정,5
비행기,5
기도,5
두려움,4
마주,4
기억,4
속편,4
기획,4
게다가,4
마무리,4
개그,4
다만,4
이병헌,4
전율,4
잠깐,4
각본,4
연기,4
성장하다,4
마치,4
뮤직비디오,4
보이,4
편승,4
세대,4
관찰,4
나쁘다,4
만하,4
두운,4
인간,4
겨울왕국,4
기술,4
컬쳐,4
밉다,4
단점,4
예술,4
누가,4
장벽,4
독특하다,4
헌터스,4
깊이,4
원래,4
결말,4
군더더기,4
덕분,4
섬세하다,4
활용,4
중요하다,4
묘사,4
조각,4
콘텐츠,4
열풍,4
능력,4
찰떡,4
여기저기,4
특징,4
이쁘다,4
상미,4
웅장,4
인물,4
방식,4
서로,4
저승,4
공격,4
여러,4
의미,4
프리퀄,4
대안,4
고맙다,4
게임,4
반응,4
안무,4
유행,4
로만,4
약점,4
비슷하다,4
즐거움,4
커버,4
플롯,4
흐름,4
수록,4
퇴마,4
라인,4
초반,4
기쁘다,4
아쉬움,4
비밀,4
런가,4
원하다,4
소비,4
당연하다,4
관심,4
하루,4
사랑스럽다,4
이유,4
정신,4
요즘,4
공개,4
한식,4
엄빠,3
당당하다,3
비로소,3
가끔,3
기념비,3
연구,3
아마,3
특별하다,3
주제,3
병맛,3
뮤직,3
가짜,3
착하다,3
와중,3
덕후,3
흔하다,3
사이,3
호강,3
퍼포먼스,3
색감,3
글로벌,3
빌런,3
키치,3
여행,3
화면,3
고유,3
설득,3
업계,3
찬란하다,3
에너지,3
명확하다,3
산업,3
시도,3
구조,3
완전하다,3
친숙하다,3
갈등,3
추가,3
일월오봉도,3
영혼,3
본질,3
정확하다,3
외로,3
상상,3
알차다,3
장점,3
김치,3
만점,3
설명,3
시원하다,3
시청,3
확장,3
최근,3
대체,3
반하다,3
액션씬,3
위주,3
제법,3
가미,3
막판,3
인상,3
상황,3
목욕탕,3
분명하다,3
진행,3
편견,3
일이,3
오직,3
경험,3
소스,3
공부,3
제대로,3
선택,3
마이,3
호랭이,3
생활,3
일도,3
국적,3
코미디,3
완벽,3
킬링타임,3
미국인,3
선사,3
무리다,3
뮤비,3
이기,3
픽쳐스,3
버무린,3
호평,3
탄생,3
마력,3
일리,3
편이,3
이미지,3
행복,3
미래,3
대치,3
의외,3
만약,3
돌판,3
질적,3
그래픽,3
감흥,3
오징어,3
언니,3
만화,3
풍부하다,3
노랗다,3
길다,3
거나,3
도깨비,3
화제,3
타겟,3
후속작,3
시각,3
성공하다,3
편안하다,3
적당하다,3
당하다,3
대한민국,3
얼굴,3
영웅,3
심각하다,3
정의,3
이름,3
유명하다,3
어른,3
의하다,3
납득,3
기승,3
전결,3
세련되다,3
메이드,3
셀린,3
멜로디,3
템포,3
극장,3
질문,3
성의,3
전형,3
블핑,3
멤버,3
속도,3
정체,3
제발,3
엄마,3
실제,3
종일,3
자꾸,3
이정,3
